,Name,Latitude,Longitude,geometry
51,"Vihals Handelssted, Skardsøya, Aure",63.34756,8.68931,POINT (8.68931 63.34756)
52,Rema 1000 Averøy,63.068046,7.64769,POINT (7.64769 63.068046)
53,Øyskogvegen 5,62.97752,8.66698,POINT (8.66698 62.97752)
54,Eidsvåg,62.7757,8.06435,POINT (8.06435 62.7757)
55,Rema 1000 Giske,62.529111,6.116412,POINT (6.116412 62.529111)
56,Circle K Digerneset,62.49043,6.60654,POINT (6.60654 62.49043)
57,Brusdalsvegen  201,62.470451,6.3788033,POINT (6.3788033 62.470451)
58,Alvdal,62.118898,10.613358,POINT (10.613358 62.118898)
59,Sogn og Fjordane Energi AS,61.76439,4.871626,POINT (4.871626 61.76439)
60,Pellestova Hotell Hafjell,61.2266949,10.5444369,POINT (10.5444369 61.2266949)
61,Burger King Ringsaker,60.84265,11.05346,POINT (11.05346 60.84265)
62,CC Hamar,60.7976147,11.0830523,POINT (11.0830523 60.7976147)
63,Ringvegen 10,60.78345,10.69342,POINT (10.69342 60.78345)
64,Amfi Raufoss,60.72915,10.61561,POINT (10.61561 60.72915)
65,Shell Nesbyen,60.571029,9.111828,POINT (9.111828 60.571029)
66,YX Osterøy,60.49867,5.47965,POINT (5.47965 60.49867)
67,Rødberg v/Rødberg Hotell,60.2677,8.94287,POINT (8.94287 60.2677)
68,Nannestad Sentrum,60.22035,11.01346,POINT (11.01346 60.22035)
69,Smedsrud Alpakkagård,60.00774,11.22311,POINT (11.22311 60.00774)
70,Møller Bil Grorud,59.95492,10.89408,POINT (10.89408 59.95492)
71,Idas vei,59.950796,10.946725,POINT (10.946725 59.950796)
72,Ullern Flerbrukshall,59.927623,10.63062,POINT (10.63062 59.927623)
73,Rykkinn Senter,59.924486,10.486942,POINT (10.486942 59.924486)
74,Jordalgata 12,59.9090685,10.7818404,POINT (10.7818404 59.9090685)
75,Extra Dønski,59.90455,10.50474,POINT (10.50474 59.90455)
76,Esso Ryen,59.8945622,10.8050726,POINT (10.8050726 59.8945622)
77,Henie Onstad Kunstsenter,59.88864,10.55424,POINT (10.55424 59.88864)
78,Kuben Senter,59.79858,5.2101,POINT (5.2101 59.79858)
79,Eiker Senter,59.76046,9.90219,POINT (9.90219 59.76046)
80,Buskerud Storsenter,59.756915,10.001678,POINT (10.001678 59.756915)
81,Juvlandsvegen 2,59.69569,8.06618,POINT (8.06618 59.69569)
82,Rema 1000 Holmestrand,59.474957,10.317436,POINT (10.317436 59.474957)
83,Rygge Storsenter,59.41617,10.68292,POINT (10.68292 59.41617)
84,BKK Hurtigladestasjon Rema 1000 Svarstad,59.40147,9.95709,POINT (9.95709 59.40147)
85,Fyresdal kommune,59.20293,8.08427,POINT (8.08427 59.20293)
86,Down Town Senter,59.137833,9.639557,POINT (9.639557 59.137833)
87,BKK Hurtigladestasjon Rema 1000 Tjøme,59.12118,10.40059,POINT (10.40059 59.12118)
88,Boreal - Revheim,58.9482951,5.6593146,POINT (5.6593146 58.9482951)
89,Shell Bryne,58.7380121,5.6411648,POINT (5.6411648 58.7380121)
90,Shell Tvedestrand,58.615281,8.901498,POINT (8.901498 58.615281)
91,Extra Fiskå,58.12538,7.96376,POINT (7.96376 58.12538)
92,Skaidi Supercharger,70.432146,24.505947,POINT (24.505947 70.432146)
93,Handelsparken BKK,59.06512587377495,5.921035049548664,POINT (5.921035049548664 59.06512587377495)
94,Notodden Supercharger,59.56683,9.218931,POINT (9.218931 59.56683)
95,Vestby Supercharger,59.602856,10.741187,POINT (10.741187 59.602856)
96,Leira Supercharger,60.969163,9.29164,POINT (9.29164 60.969163)
97,Maurset Supercharger,60.410401,7.325072,POINT (7.325072 60.410401)
98,Molde Storsenter,62.73830629912783,7.185910151431358,POINT (7.185910151431358 62.73830629912783)
99,Aspøya Fjordsenter,63.01162473808751,7.976664870251852,POINT (7.976664870251852 63.01162473808751)
100,Sommarøy,69.63589,17.99303,POINT (17.99303 69.63589)
101,Hamn,69.41698,17.16816,POINT (17.16816 69.41698)
102,Ole Reistads vei,69.05518,18.48918,POINT (18.48918 69.05518)
103,Esso Deli De Luca Grubhei,66.32036,14.20314,POINT (14.20314 66.32036)
104,Brekstad Fergeleie,63.68861,9.66842,POINT (9.66842 63.68861)
105,Kiwi,63.44233,10.43408,POINT (10.43408 63.44233)
106,TrP Jonas Lies Gate,63.42798,10.41926,POINT (10.41926 63.42798)
107,Aure kommunehus,63.26768,8.53157,POINT (8.53157 63.26768)
